Building,Room,Printer name,Campus,lat,lng
300 N Eagleson Ave,120,BL_UPRN_OA120_MFP1,Bloomington,39.1682652,-86.5156532
3rd & Union Apartments,15,BL_STC_UA015_MFP1,Bloomington,39.1645023,-86.51022809999999
506-508 N Fess Ave,101,BL_UPRN_BL044N-101_MFP1,Bloomington,39.1708535,-86.5253568
509 E 3rd St,110D,BL_UPRN_IE110D_MFP1,Bloomington,39.1646203,-86.527784
509 E 3rd St,140,BL_UPRN_IE140_MFP1,Bloomington,39.1646203,-86.527784
509 E 3rd St,299,BL_UPRN_IE299_MFP1,Bloomington,39.1646203,-86.527784
509 E 3rd St,399,BL_UPRN_IE399_MFP1,Bloomington,39.1646203,-86.527784
509 E 3rd St,399,BL_UPRN_IE399_MFP2,Bloomington,39.1646203,-86.527784
612 N Park Ave,100,BL_UPRN_BL049M-100_MFP2,Bloomington,39.1722478,-86.52450639999999
713 E Cottage Grove,105,BL_UPRN_BL399G-105_MFP1,Bloomington,39.1727166,-86.5248543
823 E 11Th St House,101,BL_UPRN_VM101_MFP1,Bloomington,39.1736379,-86.5237477
880 N Walnut Grove,C199,BL_STC_WGC199_MFP1,Bloomington,39.1742723,-86.5204251
880 N Walnut Grove,P199,BL_STC_WGP199_MFP1,Bloomington,39.1742723,-86.5204251
1103 Atwater Ave,WR100,BL_UPRN_WR100_MFP1,Bloomington,39.1632913,-86.5200427
Alice McDonald Nelson Halls Of Residence,13,BL_UPRN_HL013_MFP1,Bloomington,39.1682449,-86.52300729999999
Alice McDonald Nelson Halls Of Residence,18,BL_UPRN_HL018_MFP1,Bloomington,39.1682449,-86.52300729999999
Alice McDonald Nelson Halls Of Residence,201,BL_UPRN_HL201_MFP1,Bloomington,39.1682449,-86.52300729999999
Alice McDonald Nelson Halls Of Residence,202,BL_UPRN_HL202_MFP1,Bloomington,39.1682449,-86.52300729999999
Alice McDonald Nelson Halls Of Residence,A102,BL_UPRN_HLA102_MFP1,Bloomington,39.1682449,-86.52300729999999
Alice McDonald Nelson Halls Of Residence,C101,BL_UPRN_HLC101_MFP1,Bloomington,39.1682449,-86.52300729999999
Alice McDonald Nelson Halls Of Residence,D101,BL_UPRN_HLD101_MFP1,Bloomington,39.1682449,-86.52300729999999
Ballantine Hall,27,BL_STC_BH027_MFP1,Bloomington,39.1661242,-86.5210412
Ballantine Hall,117,BL_STC_BH117_MFP1,Bloomington,39.1661242,-86.5210412
Ballantine Hall,129,BL_STC_BH129_MFP1,Bloomington,39.1661242,-86.5210412
Ballantine Hall,235,BL_STC_BH235_MFP1,Bloomington,39.1661242,-86.5210412
Ballantine Hall,328,BL_STC_BH328_MFP1,Bloomington,39.1661242,-86.5210412
Ballantine Hall,535,BL_UPRN_BH535_MFP1,Bloomington,39.1661242,-86.5210412
Ballantine Hall,608,BL_UPRN_BH608_MFP1,Bloomington,39.1661242,-86.5210412
Ballantine Hall,616,BL_UPRN_BH616_MFP1,Bloomington,39.1661242,-86.5210412
Ballantine Hall,740,BL_UPRN_BH740_MFP1,Bloomington,39.1661242,-86.5210412
Biology Building,199,BL_STC_JH199_MFP1,Bloomington,39.164571,-86.52113229999999
Biology Building,A109,BL_UPRN_JHA109_MFP1,Bloomington,39.164571,-86.52113229999999
Biology Building,A110,BL_UPRN_JHA110_MFP1,Bloomington,39.164571,-86.52113229999999
Biology Building,A304,BL_UPRN_JHA304_MFP1,Bloomington,39.164571,-86.52113229999999
Biology Building,A400,BL_UPRN_JHA400_MFP1,Bloomington,39.164571,-86.52113229999999
Briscoe Quad,C001,BL_STC_BQC001_MFP1,Bloomington,39.1782297,-86.5196522
Briscoe Quad,C133,BL_STC_BQC133_MFP1,Bloomington,39.1782297,-86.5196522
Cedar Hall,99,BL_STC_AC099_MFP1,Bloomington,39.1705967,-86.5097806
Cedar Hall,199,BL_STC_AC199_MFP,Bloomington,39.1705967,-86.5097806
Chemistry,6,BL_STC_CH006_MFP1,Bloomington,39.1682449,-86.52300729999999
Chemistry,46,BL_STC_CH046_MFP1,Bloomington,39.1682449,-86.52300729999999
Chemistry,A002,BL_UPRN_CHA002_MFP1,Bloomington,39.1682449,-86.52300729999999
Chemistry,C201,BL_UPRN_CHC201_MFP1,Bloomington,39.1682449,-86.52300729999999
Chestnut C & D,2,BL_STC_WS002_MFP1,Bloomington,39.1682449,-86.52300729999999
Classroom-Office Building,212,BL_UPRN_C2212_MFP1,Bloomington,39.1637517,-86.5239035
Crest View,110,BL_STC_CV110_MFP1,Bloomington,39.169574,-86.5385549
Cyberinfrastructure Building (CIB),165,BL_UPRN_CR165_MFP1,Bloomington,39.1721256,-86.50172889999999
Cyberinfrastructure Building (CIB),165,BL_UPRN_CR165_MFP2,Bloomington,39.1721256,-86.50172889999999
Edmondson Hall,C199,BL_STC_EOC199_MFP1,Bloomington,39.1711725,-86.5243837
Eigenmann Hall,100,BL_STC_EG100_MFP1,Bloomington,39.1707441,-86.5083695
Eigenmann Hall,25,BL_UPRN_EG25_MFP1,Bloomington,39.1707441,-86.5083695
Ernie Pyle Hall,218,BL_STC_EP218_MPF1,Bloomington,39.1681947,-86.52303210000001
