Building,Room,Printer name
Hayes Hall,255,EA_UPRN_HY255_MFP1
Springwood Hall,2,EA_UPRN_RW002_MFP1
Springwood Hall,101D,EA_UPRN_RW101D_MFP1
Springwood Hall,235,EA_UPRN_RW235_MFP1
Tom Raper Hall,115,EA_UPRN_TR115_MFP1
Tom Raper Hall,199,EA_UPRN_TR199_MFP1
Tom Raper Hall,299,EA_UPRN_TR299_MFP1
Tom Raper Hall,399,EA_UPRN_TR399_MFP1
Whitewater Hall,101L,EA_UPRN_WZ101L_MFP1
Whitewater Hall,102,EA_UPRN_WZ102_MFP1
Whitewater Hall,115,EA_UPRN_WZ115_MFP1
Whitewater Hall,131,EA_UPRN_WZ131_MFP1
Whitewater Hall,151,EA_UPRN_WZ151_MFP1
Whitewater Hall,208,EA_UPRN_WZ208_MFP1
Whitewater Hall,285,EA_UPRN_WZ285_MFP1
