Building,Room,Printer name,Campus,lat,lng
Lafayette St Family Health Clinic,200,,Fort Wayne,41.0459287,-85.132304
Liberal Arts Building,340,,Fort Wayne,41.1172998,-85.1100859
Liberal Arts Building,343,,Fort Wayne,41.1172998,-85.1100859
Medical Education Building (IU School of Medicine) (MEC),104,,Fort Wayne,41.1203509,-85.10723550000002
Medical Education Building (IU School of Medicine) (MEC),110,,Fort Wayne,41.1203509,-85.10723550000002
Medical Education Building (IU School of Medicine) (MEC),221,,Fort Wayne,41.1203509,-85.10723550000002
Neff Hall,50,,Fort Wayne,41.1163787,-85.1105724
Neff Hall,110,,Fort Wayne,41.1163787,-85.1105724
Neff Hall,134,,Fort Wayne,41.1163787,-85.1105724
Neff Hall,142,,Fort Wayne,41.1163787,-85.1105724
Neff Hall,150,,Fort Wayne,41.1163787,-85.1105724
Neff Hall,170B,,Fort Wayne,41.1163787,-85.1105724
Northeast Indiana Innovation Center 2,111,,Fort Wayne,41.1203842,-85.1625432
Northeast Indiana Innovation Center 2,199,,Fort Wayne,41.1203842,-85.1625432
