Building,Room,Printer name
Ball Residence,163,IN_STC_BR163_MFP1
Business/SPEA,1000,IN_STC_BS1000_BW1
Business/SPEA,2999,IN_STC_BS2999_MFP1
Campus Center,199A,IN_STC_CE199A_MFP1
Campus Center,299A,IN_STC_CE299A_MFP1
Campus Center,399,IN_STC_CE399_MFP1
Campus Center,205,IN_UPRN_CE205_MFP1
Cavanaugh Hall,199,IN_STC_CA199_MFP1
Cavanaugh Hall,299,IN_STC_CA299_MFP1
Education/Social Work,2119,IN_STC_ES2119_MFP1
Engineering and Technology,4,IN_STC_ET004_MFP3
Engineering and Technology,199,IN_STC_ET199_MFP1
Eskenazi FAC 2,131,IN_STC_HE131_BW1
Eskenazi Hall,116,IN_STC_HR116_MFP1
Eskenazi Hall,122,IN_STC_HR122_MFP1
Eskenazi Hall,122,IN_STC_HR122_MFP2
Eskenazi Hall,136,IN_STC_HR136_MFP1
Eskenazi Hall,143,IN_STC_HR143_MFP1
Eskenazi Hall,145,IN_STC_HR145_MFP1
Eskenazi Hall,179,IN_STC_HR179_MFP1
Eskenazi Hall,243,IN_STC_HR243_MFP1
Eskenazi Hall,249,IN_STC_HR249_MFP1
Eskenazi Hall,117,IN_UPRN_HR117_MFP1
Eskenazi Hall,117,IN_UPRN_HR117_MFP2
Health Sciences Building,1104,IN_STC_RG1104_MFP1
Health Sciences Building,2031,IN_STC_RG2031_MFP1
Health Sciences Building,3060,IN_STC_RG3060_MFP1
Hine Hall,120,IN_STC_IP120_MFP1
ICTC,268,IN_STC_IT268_MFP1
ICTC,299,IN_STC_IT299_MFP1
ICTC,99,IN_UPRN_IT099_MFP1
ICTC,350,IN_UPRN_IT350_MFP1
ICTC,399,IN_UPRN_IT399_MFP1
ICTC,440P,IN_UPRN_IT440P_MFP1
ICTC,454,IN_UPRN_IT454_MFP1
ICTC,515,IN_UPRN_IT515_MFP1
ICTC,560,IN_UPRN_IT560_MFP1
Indiana Cancer Center Pavilion,275,IN_UPRN_RT275_MFP1
Indiana Cancer Center Pavilion,311A,IN_UPRN_RT311A_MFP1
Inlow Hall,135F,IN_STC_LAW_IH135F_MFP1
Inlow Hall,235D,IN_STC_LAW_IH235D_MFP1
Inlow Hall,355,IN_STC_LAW_IH355_MFP1
Innovation Hall,299,IN_STC_IO299_MFP1
Lecture Hall,199,IN_STC_LE199_MFP1
Lecture Hall,199,IN_STC_LE199_MFP2
Lohse & Thornbrough Houses,A150,IN_STC_H1A150_MFP1
Medical Research & Library,100,IN_LIBM_STC_IB100_MFP1
Medical Research & Library,1005B,IN_UPRN_HA1005B_MFP1
Medical Research & Library,207,IN_LIBM_STC_IB207_MFP1
Medical Research & Library,303,IN_LIBM_STC_IB303_MFP1
Medical Research & Library,2003,IN_UPRN_HA2003_MFP1
Medical Research & Library,2008,IN_UPRN_HA2008_MFP1
Medical Research & Library,2027D,IN_UPRN_HA2027D_MFP1
Medical Research & Library,3030L,IN_UPRN_HA3030L_MFP1
Medical Research & Library,3008,IN_UPRN_HA3008_MFP1
Medical Research & Library,5036,IN_UPRN_HA5036_MFP1
Medical Research & Library,6060,IN_UPRN_HA6060_MFP1
Medical Research & Library,7062,IN_UPRN_HA7062_MFP1
Natatorium,170,IN_STC_PE170_MFP1
Nursing School,109,IN_STC_NU109_MFP1
Nursing School,399,IN_STC_NU399_MFP1
Science Building,199,IN_STC_LD199_MFP1
Taylor Hall,199,IN_STC_UC199_MFP1
University Hospital,5051,IN_UPRN_UH5051_MFP1
University Library,117,IN_UPRN_UL0117_MFP1
University Library,143,IN_UPRN_UL0143_MFP1
University Library,1112,IN_UPRN_UL1112_MFP1
University Library,1115,IN_UPRN_UL1115_MFP1
University Library,1130,IN_UPRN_UL1130_MFP1
University Library,1130,IN_UPRN_UL1130_MFP2
University Library,2110,IN_UPRN_UL2110_MFP1
University Library,2116,IN_UPRN_UL2116_MFP1
University Library,2120,IN_UPRN_UL2120_MFP1
University Library,2120B,IN_UPRN_UL2120B_MFP1
University Library,2120B,IN_UPRN_UL2120B_MFP2
University Library,2123,IN_UPRN_UL2123_MFP1
University Library,2135,IN_UPRN_UL2135_MFP1
University Library,2135,IN_UPRN_UL2135_MFP2
University Library,3100,IN_UPRN_UL3100_MFP1
University Library,4100,IN_UPRN_UL4100_MFP1
University Library,4135,IN_UPRN_UL4135_MFP1
University Tower,199,IN_STC_HO199_MFP1
