Building,Campus,lat,lng
Administration Building,South Bend,41.6763545,-86.25198979999999
Civil Rights Heritage Center,South Bend,41.6759875,-86.265829
Education & Arts Building,South Bend,41.678735,-86.2385718
Elkhart Center II,South Bend,41.7178268,-86.2838632
Northside Hall,South Bend,41.6628761,-86.219764
Parkside Hall,South Bend,41.6827215,-86.2511554
River Crossing Community Bldg,South Bend,41.6842246,-86.26525819999999
Schurz Library,South Bend,41.6624938,-86.2209579
Student Activities Center,South Bend,41.664466,-86.2199713
University Center,South Bend,41.6646992,-86.2218007
Vera Z. Dwyer Hall,South Bend,41.6763545,-86.25198979999999
Wiekamp Hall,South Bend,41.6652329,-86.2201376
