Building,Room,Printer name
Administration Building,104C,SB_UPRN_AI104C_MFP1
Administration Building,115X,SB_UPRN_AI115X_MFP1
Administration Building,135,SB_UPRN_AI135_MFP1
Administration Building,146,SB_UPRN_AI146_MFP1
Administration Building,160,SB_UPRN_AI160_MFP1
Administration Building,175C,SB_UPRN_AI175C_MFP1
Administration Building,177M,SB_UPRN_AI177M_MFP1
Administration Building,199P,SB_UPRN_AI199P_MFP1
Administration Building,199Z,SB_UPRN_AI199Z_MFP1
Administration Building,203H,SB_UPRN_AI203H_MFP1
Administration Building,215E,SB_UPRN_AI215E_MFP1
Administration Building,223,SB_UPRN_AI223_MFP1
Administration Building,236,SB_UPRN_AI236_MFP1
Administration Building,240,SB_UPRN_AI240_MFP1
Administration Building,246N,SB_UPRN_AI246N_MFP1
Administration Building,250G,SB_UPRN_AI250G_MFP1
Civil Rights Heritage Center,15,SB_UPRN_HF15_MFP1
Education & Arts Building,1099,SB_UPRN_EA1099_MFP2
Education & Arts Building,1109,SB_UPRN_EA1109_MFP1
Education & Arts Building,1258,SB_UPRN_EA1258_MFP1
Education & Arts Building,2003D,SB_UPRN_EA2003D_MFP1
Education & Arts Building,2010,SB_UPRN_EA2010_MFP2
Education & Arts Building,2025D,SB_UPRN_EA2025D_MFP1
Education & Arts Building,2232,SB_UPRN_EA2232_MFP1
Elkhart Center II,106,SB_UPRN_EK106_MFP1
Elkhart Center II,213,SB_UPRN_EK213_MFP1
Northside Hall,28,SB_UPRN_NS0028_MFP1
Northside Hall,99,SB_UPRN_NS0099_MFP1
Northside Hall,45,SB_UPRN_NS045_MFP1
Northside Hall,99,SB_UPRN_NS099_MFP1
Northside Hall,103,SB_UPRN_NS103_MFP1
Northside Hall,155,SB_UPRN_NS155_MFP1
Northside Hall,160G,SB_UPRN_NS160G_MFP1
Northside Hall,234,SB_UPRN_NS234_MFP1
Northside Hall,377,SB_UPRN_NS377_MFP1
Northside Hall,469,SB_UPRN_NS469_MFP1
Parkside Hall,115,SB_UPRN_TB115_MFP1
Parkside Hall,150,SB_UPRN_TB150_MFP1
Parkside Hall,299,SB_UPRN_TB299_MFP1
River Crossing Community Bldg,110,SB_UPRN_RV110_MFP1
River Crossing Community Bldg,199,SB_UPRN_RV199_MFP1
Schurz Library,108,SB_UPRN_LM108_MFP1
Schurz Library,115,SB_UPRN_LM115_MFP3
Schurz Library,115,SB_UPRN_LM115_MFP4
Schurz Library,308,SB_UPRN_LM308_MFP1
Student Activities Center,102,SB_UPRN_FE102_MFP1
Student Activities Center,130K,SB_UPRN_FE130K_MFP1
Student Activities Center,202,SB_UPRN_FE202_MFP1
University Center,100D,SB_UPRN_UD100D_MFP1
University Center,102,SB_UPRN_UD102_MFP1
Vera Z. Dwyer Hall,146,SB_UPRN_RS146_MFP1
Vera Z. Dwyer Hall,156,SB_UPRN_RS156_MFP1
Wiekamp Hall,1003,SB_UPRN_DW1003_MFP2
Wiekamp Hall,1245,SB_UPRN_DW1245_MFP1
Wiekamp Hall,2001,SB_UPRN_DW2001_MFP1
Wiekamp Hall,2111F,SB_UPRN_DW2111F_MFP1
Wiekamp Hall,2187,SB_UPRN_DW2187_MFP1
Wiekamp Hall,2206,SB_UPRN_DW2206_MFP1
Wiekamp Hall,2286,SB_UPRN_DW2286_MFP1
Wiekamp Hall,3107,SB_UPRN_DW3107_MFP1
Wiekamp Hall,3300H,SB_UPRN_DW3300H_MFP1
