Building,Campus,lat,lng
Activities Building,Southeast,39.7388967,-86.0636699
Crestview Hall,Southeast,39.7388967,-86.0636699
Forest Lodge,Southeast,39.7388967,-86.0636699
Grove Lodge,Southeast,39.7388967,-86.0636699
Hausfeldt Building,Southeast,39.7388967,-86.0636699
Hillside Hall,Southeast,39.7388967,-86.0636699
Jeffersonville Graduate Center,Southeast,38.2945177,-85.7319794
Knobview Hall,Southeast,39.7388967,-86.0636699
Library IUSE,Southeast,39.7388967,-86.0636699
Life Science,Southeast,39.7388967,-86.0636699
Meadow Lodge,Southeast,39.7388967,-86.0636699
Ogle Cultural and Community Center,Southeast,39.7388967,-86.0636699
Orchard Lodge,Southeast,39.7388967,-86.0636699
Physical Science,Southeast,39.7388967,-86.0636699
Service/Physical Plant,Southeast,39.7388967,-86.0636699
University Center North,Southeast,40.5512165,-85.60236429999999
University Center South,Southeast,38.3450707,-85.8201701
Woodland Lodge,Southeast,39.7388967,-86.0636699
